job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
"Manager III, Software Dev",3024413,Arlington,VA,"$166,400/year - $287,700/year",2025-07-02,https://www.amazon.jobs/en/jobs/3024413/manager-iii-software-dev,amazon,NA,False,2025-08-18 19:49:47,"Did you know that many of the products you buy on Amazon didn’t exist before you have ordered them? We develop and optimize the software solutions that power the Make-On-Demand (MOD) manufacturing cells worldwide to reduce process waste, improve efficiency, lower cost of manufacturing, and improve the quality of books manufactured. You are invited to work on real world problems on a global scale, own their systems end-to-end, and influence the direction of our technology that impacts millions of customers around the world. You should excel in tactical execution and responsibilities range from creating technical plans to driving software development. You will have a demonstrated ability to think strategically and analytically about business, product, and technical challenges, with the ability to work cross-functionally. A keen sense of ownership is a must."
"Software Development Engineer - Amazon Just Walk Out, Sessions and Tracking of People",2925988,"Austin, Arlington, Santa Clara, Seattle, New York","TX, VA, CA, WA, NY","$129,300/year - $223,600/year",2025-03-12,https://www.amazon.jobs/en/jobs/2925988/software-development-engineer-amazon-just-walk-out-sessions-and-tracking-of-people,amazon,Bachelor's degree in computer science,False,2025-08-18 19:49:56,"AWS Applications and Higher Level Abstractions (Apps) provides horizontal and industry vertical applications for business users with the same on-demand scalability, reliability, pay-as-you-go pricing, and machine learning expertise that drive AWS services. The AWS Applications group includes services such as Amazon Connect, End User Computing, Marketing Tech, and Autonomous Checkout and Identity Services (Just Walk Out, Amazon One) for retail, sports, travel, and other verticals. Just Walk Out is a revolutionary retail technology that enables a seamless, checkout-free shopping experience for customers. The technology uses sensors, computer vision, and machine learning algorithms to automatically detect when products are taken from or returned to the shelves, and to charge customers' accounts accordingly."
"Software Development Engineer, Specialist Engineering - Media & Game Tech",3006961,"Austin, Seattle, Arlington, New York, Irvine","TX, WA, VA, NY, CA","$129,300/year - $223,600/year",2025-06-11,https://www.amazon.jobs/en/jobs/3006961/software-development-engineer-specialist-engineering-media-game-tech,amazon,Bachelor's degree,False,2025-08-18 19:50:06,"Do you want to lead, engineer, and deliver software that will help media, entertainment and games customers solve their most strategic challenges through cloud technologies? Do you like to tackle ambiguous problems and proactively mitigate risks before they become roadblocks? As a Software Development Engineer within the Specialist Engineering team, you will design, engineer, and deliver software with considerable impact for AWS customers. You will get to make technical and business trade-offs based on your understanding of the business impact of your systems."
"Data Center Engineering Operations Technician, DCC Communities",3060078,Manassas,VA,"$68,300/year - $152,700/year",2025-08-14,https://www.amazon.jobs/en/jobs/3060078/data-center-engineering-operations-technician-dcc-communities,amazon,High school or equivalent diploma,False,2025-08-18 19:50:18,"The incumbent will work with teams of front-line responders who support the operations of some of the world’s most powerful data centers. The Data Center Engineering Operations team maintains and operates our critical infrastructure systems to ensure preparedness for any situation. Working in some of the most sophisticated, safe, and secure data centers in the world and partnering with the brightest minds globally, the team tests and implements the newest technology and work practices to meet the demands of a changing market. The successful candidate will responsible for monitoring and recording building rounds daily, assisting in troubleshooting of facility and rack-level events, performing rack installs and decommissioning, and providing technical writing to support change management program."
"Sr. Product Marketing Manager, Customer Storytelling, AWS AI",3048068,"Boston, Seattle, Arlington, Santa Clara, Santa Monica, Atlanta, New York, San Francisco","MA, WA, VA, CA, CA, GA, NY, CA","$128,600/year - $212,600/year",2025-07-30,https://www.amazon.jobs/en/jobs/3048068/sr-product-marketing-manager-customer-storytelling-aws-ai,amazon,NA,False,2025-08-18 19:50:31,"This role is for a senior product marketer focused on customer storytelling for the AWS Generative AI Innovation Center. You will develop AI customer stories, pilot new methods of storytelling across multiple channels, and establish metrics and KPIs to measure marketing effectiveness. As a Sr. Product Marketing Manager, you will work on diverse strategic plans from creative ideation to detailed execution for a rapidly growing business. You will be working with AWS AI customers, other marketers, strategists, and scientists to build high-quality content and drive awareness."
"Sr. Delivery Consultant-DevOps, NatSec ProServe",3061212,Jessup,MD,"$138,200/year in our lowest geographic market up to $239,000/year in our highest geographic market",2025-08-18,https://www.amazon.jobs/en/jobs/3061212/sr-delivery-consultant-devops-natsec-proserve,amazon,"Bachelor's degree, or 7+ years of professional or military experience",False,2025-08-18 19:50:43,"Do you like helping U.S. Intelligence Community agencies implement innovative cloud computing solutions and solve technical problems? Would you like to do this using the latest cloud computing technologies? Do you have a knack for helping these groups understand application architectures and integration approaches, and the consultative and leadership skills to launch a project on a trajectory to success? Are you familiar with security best practices for applications, servers, and networks? Amazon Web Services is looking for highly talented and technical consultants to help accelerate our growing Professional Services business. This is an excellent opportunity to join Amazon’s world class technical teams, working with some of the best and brightest engineers while also developing your skills and furthering your career within one of the most innovative and progressive technology companies."
"EHS Due Diligence & Remediation Manager, Due Diligence & Remediation",3061189,"Nashville, Bellevue, Arlington","TN, WA, VA","$66,800/year - $142,800/year",2025-08-18,https://www.amazon.jobs/en/jobs/3061189/ehs-due-diligence-remediation-manager-due-diligence-remediation,amazon,"A Bachelor’s Degree in Geology, Environmental Science, Chemistry, Chemical or Environmental Engineering, or related field of study",False,2025-08-18 19:50:53,"As a Workplace Health & Safety Real Estate Due Diligence & Remediation Manager, you will be responsible for partnering with various stakeholders and teams to support real estate transactions. You will perform transaction related due diligence, scope and manage remediation projects, develop Amazon standards and policy, and implement and execute the requirements of the program. In this role, you will assist in managing these programs at the corporate level and ensure that risks and liabilities are appropriately evaluated and mitigated as a part of our transactions."
"Global GTM Strategy Lead, AGS Global GTM Strategy",3023469,"Boston, Austin, Seattle, Arlington, New York","MA, TX, WA, VA, NY","$143,400/year - $237,100/year",2025-07-02,https://www.amazon.jobs/en/jobs/3023469/global-gtm-strategy-lead-ags-global-gtm-strategy,amazon,Bachelor’s degree,False,2025-08-18 19:51:06,"Amazon Web Services (AWS) is the leading cloud provider, offering virtualized infrastructure, storage, networking, messaging, analytics, and other web computing services to customers all over the world. AWS operates a globally distributed environment at massive levels of scale, offering over 200 fully featured services to the fastest-growing startups, largest enterprises, and leading government agencies. The AWS Global Sales (AGS) GTM Strategy Team works closely with internal business leaders to glean their knowledge, incorporate data and information from external sources, and develop our own insights to architect worldwide short- and long-term GTM strategies. This role will involve architecting GTM strategies for AGS, cascading worldwide strategies to AGS Geos and Business Units, developing relationships with internal and external senior leaders across AWS to gain and share strategic insights, and working with data science teams to develop comprehensive data analyses."
"Sr. Customer Delivery Engineer (CDE), Kuiper Global Enterprise Services",3061182,"Arlington, Bellevue","VA, WA","$138,200/year - $239,000/year",2025-08-18,https://www.amazon.jobs/en/jobs/3061182/sr-customer-delivery-engineer-cde-kuiper-global-enterprise-services,amazon,NA,False,2025-08-18 19:51:18,"As a Customer Delivery Engineer (CDE) within Kuiper, you will help to deploy, manage, fix and reinvent the tools, services and components that engineering rely on to deploy networks to our customers, and keep them operational. You will actively be involved in innovating new technical solutions to solve the challenges of operating the Kuiper network. Your internal customers are your Technical Program Managers (TPMs) or Technical Account Managers (TAMs), and through close collaboration with Business Development and Solutions Architects, support and exchange of ideas, we share a common goal to serve our external customers and grow through learning and innovation."
"Data Center Chief Engineer , DCC Communities",3061158,Manassas,VA,"$83,100/year - $185,000/year",2025-08-18,https://www.amazon.jobs/en/jobs/3061158/data-center-chief-engineer-dcc-communities,amazon,Technical (Military/Trade School) training or degree in a relevant field,False,2025-08-18 19:51:26,"This role acts as Amazon’s front line when it comes to hands-on electrical and mechanical equipment troubleshooting. They maintain, operate, and troubleshoot mission-critical data center facility equipment including electrical support equipment that supports servers that must maintain better than 99.999% uptime. Equipment includes stand-by diesel generators and related fuel systems, 3 phase electrical systems such as switchgear, UPS units, PDUs, wet cell batteries and associated systems. Mechanical equipment includes CRAHU units, centrifugal chillers, cooling towers, water systems, air handlers and associated systems, pumps, and motors. Additional support equipment is included such as fire/life safety equipment, building automation systems, and general facilities equipment."
