job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
Senior Data Engineer,Not provided,"Richmond, McLean","Richmond, VA; McLean, VA","$144,200 - $181,000",08/22/2025,https://www.capitalonecareers.com/job/richmond/senior-data-engineer-pyspark-spark-aws-databricks-emr-etl-sql/1732/85316544816,amazon,Not specified,False,2025-08-22 19:55:40,"The Senior Data Engineer role involves the use of technologies such as PySpark/Spark, AWS, Databricks, EMR, and ETL/SQL. The candidate must have at least 3 years of experience in application development, and at least 1 year of experience in big data technologies. The responsibilities of the role include designing, developing, testing, and implementing technical solutions in full-stack development tools and technologies. Additionally, there are also interactions with machine learning, distributed microservices, and full stack systems."
"Senior Software Engineer, Full Stack (Java, Angular, AWS)",Not available,Plano,Texas,Not provided,08/22/2025,https://www.capitalonecareers.com/job/plano/senior-software-engineer-full-stack-java-angular-aws-servicing-tech/1732/85316544784,amazon,Not specified,False,2025-08-22 19:55:53,"The job is for a senior software engineer in the Servicing Tech department at Capital One. It involves working with a team and using a technology stack that includes Java, Angular, and AWS. The hiring process, company benefits, and work culture are also described."
"Senior Software Engineer, DevOps/SRE (Cloud Operations Resilience Engineering)",N/A,"McLean, Richmond",Virginia,N/A,08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-devops-sre-cloud-operations-resilience-engineering/1732/85316544736,amazon,N/A,False,2025-08-22 19:56:07,The job requires at least 3 years of experience in DevOps Engineering and at least 2 years of experience with Cloud Native technologies and Unix or Linux system administration.
"Lead Software Engineer, Full Stack",Not Available,"McLean, Plano, Richmond","McLean, VA; Plano, TX; Richmond, VA",Not Explicitly Mentioned,08/22/2025,https://www.capitalonecareers.com/job/mclean/lead-software-engineer-full-stack/1732/84767012224,amazon,Bachelor's degree,False,2025-08-22 19:56:22,"Job opening for a Lead Software Engineer, Full Stack at Capital One. Demands collaboration on cloud computing solutions, mentorship of other engineers, and agile practices. Requires 4 years of software engineering experience and proficiency in cloud computing platforms."
"Senior Manager, Data Engineering",,"Chicago, New York","Chicago, IL; New York, NY","$204,900 - $280,600/year",08/22/2025,https://www.capitalonecareers.com/job/chicago/senior-manager-data-engineering/1732/85316544432,amazon,Bachelor's degree,False,2025-08-22 19:56:37,"Senior Manager, Data Engineering position is open at Capital One. The job locations are in Chicago, Illinois, and New York, New York. The applicants must have at least a Bachelor's Degree, six years of application development experience, hands-on experience with cloud computing, and minimum of four years in people management. The salary ranges from $204,900 to $280,600/year depending on the location."
"Senior Software Engineer, Back End (Java, Spring, AWS)",Not Extracted,Plano,Texas,Not Extracted,08/22/2025,https://www.capitalonecareers.com/job/plano/senior-software-engineer-back-end-java-spring-aws-servicing-tech/1732/85316544400,amazon,Not Extracted,False,2025-08-22 19:56:51,"This job involves a senior software engineering position that specializes in the back end technologies of Java, Spring and AWS at Capital One. The post outlines the responsibilities, qualifications, and expected salary for the role. Capital One promotes diversity and inclusion in their work culture, which is reflected in this position."
"Product Designer, Principal Associate Level at Capital One",Not Available,"McLean, Richmond, New York","McLean, VA; Richmond, VA; New York, NY","McLean, VA: $127,500 - $145,500, New York, NY: $139,100 - $158,700, Richmond, VA: $115,900 - $132,200",08/22/2025,https://www.capitalonecareers.com/job/mclean/product-designer-principal-associate-level/1732/85315425264,amazon,Not Available,False,2025-08-22 19:57:12,"This is a job position for a Product Designer at Capital One. The locations are McLean, Richmond, and New York. Basic qualifications include at least 3 years of Product Design experience and the ability to use design and prototyping tools like Figma. Additional competencies include a business-focused approach, problem-solving skills, and the ability to collaborate with others. Preferred qualifications include at least 4 years of Product Design experience, the use of an established design system, and experience in heavily regulated, data-heavy problem spaces."
"Senior Software Engineer, Back End (Enterprise Platforms Technology)",,"McLean, Richmond",Virginia,,08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-back-end-enterprise-platforms-technology/1732/85315425248,amazon,Bachelor’s Degree,False,2025-08-22 19:57:32,"The role involves designing, developing, testing, implementing, and supporting technical solutions in full-stack development tools and technologies. Qualifications required for the role include at least 3 years of professional software engineering experience. Preferred qualifications include 5+ years of experience in Java, Scala, Python, Go, or Node.js, experience with AWS, GCP, Azure, or another cloud service, experience in open source frameworks, and experience in Agile practices."
Senior Business Analyst,Not provided,"Virginia, New York, Chicago, Richmond",Not defined,"Not defined, but competitive",08/22/2025,https://www.capitalonecareers.com/job/mclean/sr-business-analyst-commercial-bank/1732/81929197984,amazon,Bachelor's Degree,False,2025-08-22 19:58:05,"The role is for a Senior Business Analyst at Capital One's Commercial Bank. The applicant requires a Bachelor's Degree in any quantitative field and at least 1 year of analysis experience. Preferred qualifications include a Master's Degree in a related field, experience in Statistical model building, market research, SQL querying, and business analysis. They should also preferably have 1+ years of consulting experience. The role is based in various locations."
"Product Designer, Senior Associate level",,"San Francisco, McLean, New York, Richmond","San Francisco, California; McLean, Virginia; New York, New York; Richmond, Virginia",,08/22/2025,https://www.capitalonecareers.com/job/san-francisco/product-designer-senior-associate-level/1732/84504118592,amazon,,False,2025-08-22 19:58:22,"This job listing is from Capital One for the role of 'Product Designer, Senior Associate level'. The job locations include San Francisco, California; McLean, Virginia; New York, New York; Richmond, Virginia. The job posting includes a detailed overview of the qualifications and benefits. Capital One also provides insights on their hiring process and benefits for employees. The post also contains various helpful links to navigate Capital One's website and job application portals."
"Senior Software Engineer, Back End",Not mentioned,"McLean, Richmond",Virginia,"McLean, VA: $158,600 - $181,000/year; Richmond, VA: $144,200 - $164,600/year",08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-back-end-enterprise-platforms-technology/1732/85315425184,amazon,Bachelor’s Degree,False,2025-08-22 19:58:46,"The role involves building and pioneering in the technology space, solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment. The role specifically involves Back End Software Engineers who are passionate about marrying data with emerging technologies. The opportunity also gives engineers the chance to be on the forefront of driving a major transformation within Capital One."
"Senior Software Engineer, Full Stack",1732/85315425168,McLean,Virginia,Not mentioned,08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-full-stack/1732/85315425168,amazon,Bachelor’s Degree,False,2025-08-22 19:59:02,"This job posting is seeking a Senior Software Engineer for a Full Stack position at Capital One, located in McLean, Virginia. The ideal candidate should have a Bachelor’s Degree and at least 3 years of software engineering experience. The job entails knowledge of programming languages like JavaScript, Java, HTML/CSS, TypeScript, SQL, Python, and Go. It provides a list of basic and preferred qualifications. The job posting does not mention any immigration-related support for applicants."
"Senior Software Engineer, iOS - Servicing Tech",NA,Plano,Texas,"$144,200 - $164,600 per year",08/22/2025,https://www.capitalonecareers.com/job/plano/senior-software-engineer-ios-servicing-tech/1732/84996683792,amazon,Bachelor's Degree,False,2025-08-22 19:59:16,"The role involves building and pioneering in the tech space, driving major transformation, and being an advocate of the mobile platform. Requirements include at least 2 years of experience in software engineering and building iOS applications. The role is eligible for performance-based incentive compensation such as cash bonuses and long-term incentives."
"Senior Lead Software Engineer, Full Stack",,"McLean, Richmond",VA,"$204,900 - $233,800 - $257,200",08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-lead-software-engineer-full-stack-bank-tech/1732/85315425232,amazon,Bachelor’s Degree,False,2025-08-22 20:02:52,"The job involves leading a portfolio of diverse technology projects, experimenting with and learning new technologies and collaborating with digital product managers. It's a full stack engineering role at the Bank Tech department of Capital One. The position requires at least 6 years of experience in software engineering and 1 year experience with cloud computing (AWS, Microsoft Azure, Google Cloud)."
"Software Engineer, Android",,New York,New York,"$145,100 - $165,600",08/22/2025,https://www.capitalonecareers.com/job/new-york/software-engineer-android/1732/85315425136,amazon,,False,2025-08-22 20:04:27,"The role of Software Engineer, Android at Capital One involves building and pioneering in the technology space, solving complex business problems in a collaborative and inclusive environment. The candidate is expected to have at least 1.5 years of professional software engineering experience and 1 year of experience building Android applications and working with Kotlin. The company also values experience with open source frameworks and Agile practices."
"Lead Software Engineer, Full Stack",N/A,"Richmond, McLean",Virginia,N/A,08/22/2025,https://www.capitalonecareers.com/job/richmond/lead-software-engineer-full-stack/1732/85315425120,amazon,Bachelor's Degree,False,2025-08-22 20:10:03,"The job at Capital One involves building and pioneering in technology spaces, solving complex business problems, and leading a team of developers. The required qualifications include a Bachelor's Degree with at least 4 years of software engineering experience and 1 year experience with cloud computing. The job is based in multiple locations including Richmond and McLean, Virginia."
Senior Manager - Technical Program Management,,"Plano, McLean","TX, VA",,08/22/2025,https://www.capitalonecareers.com/job/plano/senior-manager-technical-program-management/1732/84768150080,amazon,,False,2025-08-22 20:34:07,"The position is for a 'Senior Manager - Technical Program Management' to be based in Plano, Texas or McLean, Virginia. The role involves leading programs that deliver on business goals and build large scale products & platforms. The senior manager is expected to have a strong technical background, minimum of 5 years experience managing technical programs, and exceptional communication and collaboration skills."
Lead Software Engineer,,"Richmond, McLean","Richmond, VA; McLean, VA","McLean, VA ($193,400 - $220,700), Richmond, VA ($175,800 - $200,700)",08/22/2025,https://www.capitalonecareers.com/job/richmond/lead-software-engineer-back-end-java-spark-enterprise-platforms-technology/1732/85315425088,amazon,Bachelor's degree,False,2025-08-22 20:34:26,"The role is for a Lead Software Engineer focusing on Back End technology, specifically Java and Spark, within the Enterprise Platforms Technology division. The job locations are Richmond, Virginia and McLean, Virginia. The role involves leading a team of developers, solving complex business problems, and experimenting with new technologies."
"Senior Lead Software Engineer, Full Stack",NA,"McLean, Richmond",Virginia,NA,08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-lead-software-engineer-full-stack/1732/85315425056,amazon,Bachelor’s Degree,False,2025-08-22 20:35:01,"This job advertises a Senior Lead Software Engineer position at Capital One. The role is based in either McLean or Richmond, Virginia. The position requires at least 6 years of experience in software engineering and at least 1 year of experience in cloud computing. Responsibilities include leading a team of developers, collaborating with digital product managers, and using various programming languages and tools."
"Senior Lead Software Engineer, Full Stack",,"Chicago, McLean","Chicago, IL; McLean, VA","$204,900 - $233,800 for Illinois and $225,400 - $257,200 for Virginia",08/22/2025,https://www.capitalonecareers.com/job/chicago/senior-lead-software-engineer-full-stack/1732/85307146400,amazon,Bachelor’s Degree,False,2025-08-22 20:35:18,"The role involves leading a portfolio of technology projects and a team of developers. The candidate must have a Bachelor’s Degree and at least 6 years of experience in software engineering. Preferred qualifications include a Master's Degree, experience in Java or Golang, AWS cloud service, open source frameworks, people management and Agile practices. "
"Principal Auditor- Cyber, Risk and Analysis Technology Audit",Not mentioned,"McLean, Plano, Richmond, Charlotte","Virginia, Texas, Virginia, North Carolina",Not mentioned,08/18/2025,https://www.capitalonecareers.com/job/mclean/principal-auditor-cyber-risk-and-analysis-technology-audit-hybrid/1732/85165082112,amazon,Not mentioned,False,2025-08-22 20:35:35,"The role 'Principal Auditor- Cyber, Risk and Analysis Technology Audit' is situated across various locations - McLean, Virginia; Plano, Texas; Richmond, Virginia; Charlotte, North Carolina. Apart from the job responsibilities and qualifications, the job description offers information about the salary ranges across different locations, eligibility for performance-based incentive compensation and details about Capital One's health and financial benefits. The scraped data also mentions other job vacancies and hotlinks to other useful resources."
"Senior Software Engineer, Full Stack",Not available,"McLean, Richmond, Chicago","Virginia, Virginia, Illinois",Not available,08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-full-stack/1732/85315425008,amazon,Bachelor's Degree,False,2025-08-22 20:35:52,"The job is for the role of 'Senior Software Engineer, Full Stack' at Capital One. The role involves solving complex business problems in a fast-paced environment and collaborating with different teams. Basic qualifications include a Bachelor’s Degree and at least 3 years of experience in software engineering."
Design Operations Manager,Not provided,"McLean, New York, Richmond, Plano, San Francisco","Virginia, New York, Texas, California",Not provided,08/22/2025,https://www.capitalonecareers.com/job/mclean/design-operations-manager/1732/84679313792,amazon,Not provided,False,2025-08-22 20:36:08,"Design Operations Manager at Capital One required for supporting day-to-day operations, strategic planning and program management of key projects. Requires experience in design operations, project management, or program management. Multiple job locations across the U.S. A range of benefits provided, including health insurance and savings."
"Manager Software Engineering, Full Stack",unknown,"Richmond, McLean","Richmond, VA; McLean, VA","McLean, VA: $193,400 - $220,700, Richmond, VA: $175,800 - $200,700",08/18/2025,https://www.capitalonecareers.com/job/richmond/manager-software-engineering-full-stack/1732/85165080704,amazon,Master's Degree,False,2025-08-22 20:36:28,"The job involves managing software engineering activities at Capital One. At least 4 years of software engineering experience, 1 year of cloud computing experience and 2 years of management experience are required. Preferred qualifications include proficiency in languages such as JavaScript, Java, TypeScript, SQL, Python or Go, expertise in cloud services such as AWS, GCP, Microsoft Azure, substantial experience in open source frameworks and Agile practices. The role also requires 5+ years of people management experience."
"Anti-Money Laundering, Transaction Monitoring Operations - Subject Matter Expert (SME)",Not Provided,"McLean, Jericho, Plano, New York, Richmond, New Orleans, Riverwoods, Chicago, Wilmington","Virginia, New York, Texas, New York, Virginia, Louisiana, Illinois, Illinois, Delaware",Not provided,08/22/2025,https://www.capitalonecareers.com/job/mclean/anti-money-laundering-transaction-monitoring-operations-subject-matter-expert-sme/1732/85315424960,amazon,High School Diploma,False,2025-08-22 20:36:49,"This role involves Anti-Money Laundering work, providing training, assisting team leaders, identifying and implementing procedural improvements, and acting as a resource for questions and needs related to Anti-Money Laundering work. Desired qualities include critical thinking, good communication skills, organization, leadership, and a strong understanding of AML risk, management practices, and regulatory requirements."
Senior Data Engineer,NA,Plano,Texas,NA,08/22/2025,https://www.capitalonecareers.com/job/plano/senior-data-engineer/1732/84766992624,amazon,Bachelor's Degree,False,2025-08-22 20:37:18,"The role involves building and designing data pipelines and analytics data stores using a number of programming languages, such as Java, Scala and Python, as well as various big data technologies. The job requires at least a Bachelor's Degree and a minimum of 3 years of experience in application development, as well as one year of experience in big data technologies. It offers a comprehensive, competitive, and inclusive set of health, financial and other benefits. The job involves working with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems."
Senior Software Engineer,,McLean,Virginia,"$158,600 - $181,000 per annum",08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-software-engineer-full-stack/1732/85315424896,amazon,Bachelor's degree,False,2025-08-22 20:37:49,"The job responsibilities include collaboration with Agile teams for designing, developing, testing, implementing, and supporting technical solutions using full-stack development tools and technologies. The basic qualifications for this role include a bachelor's degree and a minimum of 3 years of software engineering experience excluding internships. The posting mentions that the salary range for the McLean, VA location is $158,600 - $181,000 per annum."
Senior Software Engineer - Full Stack,Not provided,Mexico City,Mexico,Not provided,08/22/2025,https://www.capitalonecareers.com/job/mexico-city/senior-software-engineer-full-stack/1732/74022683904,amazon,Bachelor's Degree,False,2025-08-22 20:38:24,"The job of 'Senior Software Engineer - Full Stack' at Capital One in Mexico City, involves tasks such as designing, developing, testing, implementing, and supporting technical solutions in full-stack development tools and technologies. The applicant must have a bachelor’s degree and at least 4 years of experience in software engineering, with proficiency in several programming languages like JavaScript, Java, HTML/CSS, TypeScript, SQL, Python, and Go. The work environment at Capital One is described as inclusive, supportive, leading in the technology space with different health plans, options for saving money, opportunities for family, and career advice."
Café Coach,Not provided,Bellevue,Washington,"$104,500 - $115,500",08/22/2025,https://www.capitalonecareers.com/job/bellevue/capital-one-coach-bellevue/1732/85315424848,amazon,High school diploma,False,2025-08-22 20:38:40,"The job involves leading a Café team, building relationships with local community organizations, and mentoring team members. It requires at least 2 years of customer, retail, or financial services experience, and at least 1 year of people management experience or 2 years of retail bank experience. Preferred qualifications include a Bachelor's Degree and 2+ years of people management experience."
Senior Administrative Assistant (Administrative Support Assistant III) Card Technology,not provided,McLean,VA,"$79,300 - $90,500",08/22/2025,https://www.capitalonecareers.com/job/mclean/senior-administrative-assistant-administrative-support-assistant-iii-card-technology/1732/85315424816,amazon,not mentioned,False,2025-08-22 20:39:08,"Capital One is looking for a self-motivated and quick-thinking individual with at least 2 years of Administrative experience and at least 2 years of experience in Microsoft Office Suite or Google Suite. The role includes managing daily calendars for multiple executives, arranging and reserving conference rooms, coordinating travel arrangements, handling administrative tasks, and maintaining good business relationships across the organizations."
Product Designer - Principal Associate,,"New York, Richmond, Philadelphia, McLean, San Francisco, Chicago",,,08/22/2025,https://www.capitalonecareers.com/job/new-york/product-designer-principal-associate-level/1732/84504118480,amazon,,False,2025-08-22 20:39:27,The role expects a creative innovator knowing about product design nuances and customer understanding. The candidate should have at least 3 years of experience in a Product Design role and with design and prototyping tools like Figma. Preferred qualifications include at least 4 years in a Product Design role and experience working with an established design system. The role requires business-focus as well as collaboration and communication skills.
