job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
Sr Engineer-Hybrid,26196,BALTIMORE,Maryland,"$100,800.00/Yr. – $138,600.00/Yr.",08/08/2025,https://jobs.exeloncorp.com/careers-home/jobs/26196?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,True,2025-08-26 14:16:12,"The Sr Engineer in the T &S; Regional Projects Engineering team will perform Lead Responsible Engineer (LRE) duties which entail taking ownership of a project from inception to completion. They will be a valued member of the team that will be supporting Regional Projects Engineering (RPE) at BGE which oversee substation system performance; stand alone and bundled projects. The team will support capital improvements involving high voltage equipment (including circuit breakers, power transformers, instrument transformers, switches, and arrestors), reactive assets (capacitor banks and reactors), structures and foundations, grounding, security fencing, buildings, roadworks, cable trenches, bus and conductors, supporting systems (lighting, battery banks, chargers, oil retention and separation systems, standby generators, and fire protection), and system protection and control (protective relays, RTUs, metering, annunciator, event disturbance monitoring, and substation monitoring)."
General Engineer - T&S; Reliability,26343,"Newark, Washington, Mays Landing","Delaware, Washington, DC, New Jersey","$90,400.00/Yr. – $124,300.00/Yr.",08/19/2025,https://jobs.exeloncorp.com/careers-home/jobs/26343?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,False,2025-08-26 14:16:58,"Develops studies, plans, criteria, specifications, calculations, evaluations, design documents, performance assessments, integrated systems analysis, cost estimates, budgets, associated with the planning, design, licensing,  construction, commissioning, operation, and maintenance of Exelon's electric generation, transmission, distribution, gas and telecommunication facilities/systems. Provides consultation and recommendations to the Company within and to other business units and/or customers as a result of studying company or customer-owned systems, processes, equipment, vehicles or facilities. Reviews financial data from budget and actual costs of projects."
Sr Quantitative Engineer,26130,"PHILADELPHIA, OAKBROOK TERRACE, CHICAGO, Washington, BALTIMORE, Newark","Pennsylvania; Illinois; Illinois; Washington, DC; Maryland; Delaware","$109,600.00/Yr. – $150,700.00/Yr.",08/20/2025,https://jobs.exeloncorp.com/careers-home/jobs/26130?lang=en-us,exelon,Bachelor of Science degree in engineering or quantitative disciplines,True,2025-08-26 14:17:40,"The Senior Quantitative Engineer will employ quantitative methodologies and provide quantitative analysis to support engineering studies, plans, calculations, evaluations, design documents, integrated systems analysis, cost estimates, budgets, associated with the research, planning, design, operation, and maintenance of Exelon Utilities' overall strategic plans and initiatives. The Senior Quantitative Engineer will develop and maintain quantitative analytical models and methodologies to identify trends and predict outcomes, effectively communicate and report on modeling methodologies and results. The person will be responsible of monitoring and responding to business needs by staying abreast of developments in the energy industry"
Sr Project Manager,26131,"Washington, OAKBROOK TERRACE, BALTIMORE, Newark, PHILADELPHIA, CHICAGO","DC, Illinois, Maryland, Delaware, Pennsylvania, Illinois","$97,600.00/Yr.- $134,200.00/Yr.",08/19/2025,https://jobs.exeloncorp.com/careers-home/jobs/26131?lang=en-us,exelon,"Bachelor's degree in engineering or related field and 4-7 years relevant project management or related experience, OR High School Diploma and 6-9 years of relevant project management or related experience",True,2025-08-26 14:18:26,"The Project Manager is an individual contributor accountable for project budgets, team performance, and developing strategic plans to implement projects for various organizations. Responsibilities also include managing scope, budget and schedule within approved parameters and providing structured and detailed reports to the appropriate Management team. Tasks may include but are not limited to, ensuring the completion of business cases, budgetary approvals, project scheduling, design and engineering tasks, vegetation management reviews, project reporting, project financial analysis, major equipment procurement, environmental analysis, obtaining real estate and relationship management with external customers, vendors, townships and regulatory agencies, project quality assurance, and change management."
Sr Engineer,26262,Washington,DC,"$100,800.00/Yr. – $138,600.00/Yr.",08/25/2025,https://jobs.exeloncorp.com/careers-home/jobs/26262?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,Hybrid,2025-08-26 14:19:05,"We're powering a cleaner, brighter future. Exelon is leading the energy transformation, and we're calling all problem solvers, innovators, community builders and change makers. Work with us to deliver solutions that make our diverse cities and communities stronger, healthier and more resilient. We're powered by purpose-driven people like you who believe in being inclusive and creative, and value safety, innovation, integrity and community service."
Sr Substation Engineer (BGE),26294,BALTIMORE,Maryland,"$100,800.00/Yr. – $138,600.00/Yr.",08/13/2025,https://jobs.exeloncorp.com/careers-home/jobs/26294?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,True,2025-08-26 14:20:30,"The T &S; Projects & Standards Team is responsible for maintaining and developing design standards and engineering practices that ensure standardized, safe, and cost-effective substation designs. This position is responsible for a specific class of T&S; Design Standards including module/template drawings, material specifications, construction specifications (S-Sheets), Job Processes (JPBs), and Engineering Practices (EPBs) for substation voltages of 13kV, 34kV, 115kV, 230kV, and 500kV. This position serves as a Subject Matter Expert and design authority for substation design and engineering within T&S;, with a focus on High Voltage/Physical Design and Substation Equipment."
Sr Protection and Controls Engineer (BGE),26293,BALTIMORE,Maryland,"$100,800.00/Yr. – $138,600.00/Yr.",08/13/2025,https://jobs.exeloncorp.com/careers-home/jobs/26293?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,True,2025-08-26 14:21:16,"The T &S; Projects & Standards Team is responsible for maintaining and developing design standards and engineering practices that ensure standardized, safe, and cost-effective substation designs. This position is responsible for a specific class of T&S; Design Standards including template drawings, material specifications, Job Processes (JPBs), and Engineering Practices (EPBs) for substation voltages of 13kV, 34kV, 115kV, 230kV, and 500kV. This position serves as a Subject Matter Expert and design authority for substation design and engineering within T&S;, with a focus on Protection and Control including protective relaying, local control systems, and SCADA applications."
Sr. Civil Structural Engineer (BGE -Trans and Substation),26429,BALTIMORE,Maryland,"$100,800.00/Yr. – $138,600.00/Yr.",08/26/2025,https://jobs.exeloncorp.com/careers-home/jobs/26429?lang=en-us,exelon,Bachelor of Science degree in Engineering or Licensed Professional Engineer,False,2025-08-26 14:22:00,"This Sr. Civil Structural Engineer position is part of the BGE - T & S; Substation Engineering & Projects organization. The organization is a multi-discipline unit focusing on Civil Structural and High Voltage (HV) Electrical areas of expertise. The team is responsible for in-house design, engineering, and commissioning of electric substation projects triggered by growing load demand and replacement of aging infrastructure. Projects supported by the team include transmission substation modifications and expansions, distribution function expansions and rebuilds, and the replacement of aging or failed equipment."
Mgr Bus Planning & Support,26379,"Washington, Upper Marlboro, Rockville, Washington","DC, Maryland, Maryland, DC","$112,000.00/Yr. – $154,000.00/Yr.",08/25/2025,https://jobs.exeloncorp.com/careers-home/jobs/26379?lang=en-us,exelon,"Bachelor's degree in Finance, Accounting, or other quantitative areas",False,2025-08-26 14:22:45,"Manage the Business Planning and Support team to support operations leadership in business planning, operational governance, oversight and support. Day to day management responsibilities are diverse and complex, including coordination among all operations departments in industry benchmarking activities, business planning activities, regular department management review meetings, completion of all commitments and compliance items. Responsibilities involve both internal and external contacts regarding issues critical to operations. Develop operational governance processes and procedures to ensure efficiency and compliance."
Relay Tester C NERC,25647,Washington,DC,$28.25/Hr,06/20/2025,https://jobs.exeloncorp.com/careers-home/jobs/25647?lang=en-us,exelon,"High school diploma (or equivalent), plus Associates (at least 2 year) degree in Electrical engineering or Electrical engineering technology",False,2025-08-26 14:23:32,"Under general supervision, assists higher level Relay Testers in testing, maintaining and repairing protective/test or other electronic/electric equipment in the laboratory. Performs regular and customary work on Company and/or customer owned equipment, on or off Company property. Tests, maintains, and repairs relays, protective and test equipment, and other electric/electronic equipment in the laboratory. Performs minor field work for which qualified. May be required to perform other related or less skilled work."
