job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
Medical Assistant 1-Primary Care (Annandale),669805,Annandale,VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/669805/?mode=location,inova,High School or GED,False,2025-08-23 22:36:59,"Inova Physician Partners Inc (Primary Care-Annandale) is looking for a dedicated Medical Assistant 1 to join the team. This role will be Full-Time. Inova is consistently ranked a national healthcare leader in safety, quality and patient experience. We are also proud to be consistently recognized as a top employer in both the D.C. metro area and the nation."
Registered Nurse (RN) Medical/ Surgical Float Pool,671463,Falls Church,VA,NA,"08/23/2025, 02:03 PM",https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/671463/?mode=location,inova,Graduate of an accredited Bachelor’s Degree in Nursing,False,2025-08-23 22:37:09,"Inova Fairfax Hospital is looking for a dedicated Registered Nurse (RN) Float Pool Medical/ Surgical to join the team. This role will be full-time, Night shift Days Vary, 7:00 p.m. to 7:30 a.m. The job responsibilities include comprehensive patient health assessments, formulating individualized plans of care, supporting and empowering patients/families, advocating for patients' rights, and anticipating ethical, spiritual and cultural needs of patients. Minimum of two years of acute care nursing experience and BLS certification from the American Heart Association are required."
Registered Nurse (RN) Endoscopy,671693,Falls Church,VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/671693/?mode=location,inova,Bachelor's Degree Nursing or Associate's Degree,False,2025-08-23 22:37:23,"Inova Fairfax Hospital is looking for an experienced Registered Nurse to join our fast-paced Gastroenterology Lab/Endoscopy and Interventional Pulmonology team. RNs rotate between pre-op, intra-op and PACU. Regular work week is Monday-Friday, No weekends, No holidays. Call is taken on a rotating basis for after-hour emergencies-nights, weekends & on holidays. This position offers the opportunity to be cross trained for our Interventional Pulmonology services and the team functions as one unit taking care of GI and IP patients in both PreOp and PACU."
Medical Assistant 1-Pulmonology,672040,VA,United States,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672040/?mode=location,inova,High School or GED,False,2025-08-23 22:37:32,"Inova Physician Services (Pulmonology-Woodburn) is looking for a Medical Assistant 1 to join their team. This role is full-time, day-shift from Monday to Friday. Responsibilities include patient care responsibilities, pre-visiting planning, fulfilling clerical responsibilities, and environmental responsibilities. Inova offers benefits including medical, dental and vision coverage, retirement, tuition and student loan assistance, mental health support, and work/life balance."
Music Therapist: Behavioral Health Therapist 1,672499,Falls Church,VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672499/?mode=location,inova,"Master’s degree, Ph.D., PsyD, EdD in mental health, social work, counseling, psychology, or behavioral health-related field",false,2025-08-23 22:37:42,"Inova Children’s Services, Fairfax is looking for a dedicated Behavioral Therapist 1 to join the team. The role will conduct individual and group music therapy sessions for children inpatient and outpatient settings. This role will be PRN. Provides a range of mental health and/or substance use disorders therapeutic interventions, psycho-educational programming and behavioral interventions (when indicated) to assist the patient/family in achieving the goals and objectives of the individualized service plan. Duties will be performed under the clinical supervision of an approved clinical supervisor."
Patient Access Associate 2,672370,"Leesburg, Ashburn",VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672370/?mode=location,inova,High School Diploma or GED,False,2025-08-23 22:37:51,"Inova Loudoun Hospital is looking for a dedicated Patient Access Associate 2 to join the team. This role will be full-time evening shift from Monday – Friday every other weekend, between 3:00 p.m. – 11:30 p.m. Inova is consistently ranked a national healthcare leader in safety, quality and patient experience. We are also proud to be consistently recognized as a top employer in both the D.C. metro area and the nation."
Medical Assistant 1 - OBGYN,672497,VA,United States,NA,"08/23/2025, 09:15 AM",https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672497/?mode=location,inova,High School or GED,False,2025-08-23 22:38:00,"Inova Physician Services (OBGYN-McLean) is looking for a dedicated Medical Assistant 1 to join the team. This role will be Full-Time, Day Shift from Monday – Friday. Inova matches the first 5% of eligible contributions – starting on your first day. Assumes the responsibility of clinic flow, checking schedules recording patient blood pressure, height, and weight; accompanying patients to exam/procedure room; assisting patients as needed with walking, collecting specimens, phlebotomy, administering injections, assisting physicians/nurses; preparing patient for examination and treatment."
Phlebotomist-Blood Donor Services,672443,Sterling,VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672443/?mode=location,inova,High School diploma or GED equivalent,False,2025-08-23 22:38:12,"Inova Blood Donor Services is looking for a dedicated Phlebotomist to join the Mobile Team full-time Monday-Friday with a weekend rotation. The role includes maintaining an error rate of less than one percent on a monthly basis, upholding quality standards to ensure the safety, purity and potency of all blood products, and following current Good Manufacturing Practices as required by FDA. The phlebotomist will also greet and register blood donors using FDA regulated Blood Establishment Computer System. The ideal candidate is responsible for receiving and acknowledging safety concerns proactively."
Radiation Oncology Technical Assistant,672420,Leesburg,VA,NA,08/23/2025,https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672420/?mode=location,inova,High School diploma or equivalent,False,2025-08-23 22:38:24,"Inova Loudoun Hospital is looking for a dedicated Radiation Oncology Technical Assistant to join the team. This role is Full-time Monday to Friday. The Radiation Oncology Technician Assistant assists in the planning procedures for initial patient set-up. Facilitates the preparation of medical records and chart rounds while helping the nursing staff in clinics and provides assistance to Radiation Therapists and physicians during patient treatments. Assists with patient positioning activities on the simulator and/or Computed Tomography (CT) machine; Assists in moving/positioning patients in preparation of delivery of radiation therapy. Prepares new patient therapy records; Pulls pertinent patient records, reports and films for review at weekly chart rounds. Obtains vital signs and records results. Assists nurses and physicians with patient examinations. Maintains inventory of equipment and is responsible for transporting equipment to and from operating rooms and sterile processing. May perform additional duties as assigned."
Clinical Technician - Intermediate Care Unit,672471,Leesburg,VA,NA,"08/23/2025, 07:55 AM",https://elar.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/672471/?mode=location,inova,High School graduate or equivalent,False,2025-08-23 22:38:33,"Inova Loudoun Hospital is looking for a dedicated Clinical Technician on the Intermediate Care Unit. This role will be part time night shift; Monday – Friday, rotating weekends, 7pm - 7:30am. The Clinical Technician 1 assists in the delivery of direct patient care under the supervision of the Registered Nurse. Assists in the delivery of direct patient care under the supervision of the Registered Nurse and communicates changes in patient status to the Registered Nurse in a timely manner."
