job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
University Special Police Sergeant (Overnight Shift),117372,Washington,DC,$21.25 - $36.90 (Commensurate w/exp.),2025-08-24,https://jobs.jhu.edu/job/Washington-University-Special-Police-Sergeant-%28Overnight-Shift%29-DC-20001/1268239700/,jhons_hopkins,"High School Diploma or GED, Associate of Arts (AA) degree in Criminal Justice, Business, Liberal Arts, Cyber Security or Social Sciences preferred",False,2025-08-24 17:26:12,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Special Police Sergeant (Overnight Shift) at the Hopkins Bloomberg Center in Washington, DC. This position is for the overnight shift 11:30 PM-7:00 AM. This is an unarmed University Special Police Sergeant position, supervising public safety staff and contract security, enforcing departmental rules and regulations, and initiating corrective and disciplinary action as necessary."
Security Systems Specialist,117346,Washington,DC,$17.50 - $25.00 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-Security-Systems-Specialist-DC-20001/1268240000/,jhons_hopkins,High school Diploma/GED,False,2025-08-24 17:26:24,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Security Systems Specialist at the Hopkins Bloomberg Center in Washington, DC. This position is for the daytime shift (6:30 AM-3:00 PM). The role involves monitoring and responding to proprietary closed circuit television systems for events or activities that may require a security response, providing general assistance and information to University students, faculty, staff and visitors, and completing tasks as may be necessary for the operation of the Command Center."
Associate Administrator,118341,NA,NA,"$98,200 - $171,900 Annually ($140,000 targeted; Commensurate w/exp.)",2025-08-24,https://jobs.jhu.edu/job/Baltimore-Associate-Administrator-MD-21287/1303025000/,jhons_hopkins,"Bachelor's Degree in Business, Finance, Accounting or other related field",false,2025-08-24 17:26:34,"We are seeking anAssociate Administrator _ _ to _ _ provide leadership and management of the financial, operational, and administrative activities for one or more divisions within a large clinical department. The position reports directly to the Clinical Administrator. The position manages finances, human resources, program/business development. operational oversight and other patient care fiscal and administrative operations that typically span the Johns Hopkins University School of Medicine (SOM) and the Johns Hopkins Health System (JHHS). The Associate Administrator partners with the Administrator to maintain sustainable financial success, implementing continuous performance improvement, and helping develop new programs."
University Special Police Sergeant (Evening Shift),117350,Washington,DC,$21.25 - $36.90 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-University-Special-Police-Sergeant-%28Evening-Shift%29-DC-20001/1268238900/,jhons_hopkins,High School Diploma or GED,False,2025-08-24 17:26:42,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Special Police Sergeant (Evening Shift) at the Hopkins Bloomberg Center in Washington, DC. This is an unarmed University Special Police Sergeant position. The candidate is expected to supervise public safety staff and contract security, enforce departmental rules and regulations governing officers’ performance, initiate corrective and disciplinary action as necessary. The candidate also needs to Monitors and ensures staff compliance with departmental policies, procedures, and relevant regulatory requirements."
Security Systems Specialist,117347,Washington,DC,$17.50 - $25.00 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-Security-Systems-Specialist-%28Evening-Shift%29-DC-20001/1268240200/,jhons_hopkins,High school Diploma/GED,False,2025-08-24 17:26:51,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of University Security Systems Specialist at the Hopkins Bloomberg Center in Washington, DC. This position is for the evening shift (2:30-11:00 PM). Specific duties include monitoring and responding to proprietary closed circuit television systems, providing general assistance and information to University students, faculty, staff and visitors, completing tasks necessary for the operation of the Command Center, and dispatching the appropriate level of public safety response per University policy and guidelines."
Security Officer (Day Shift),117369,Washington,DC,Starting Salary Range: $17.50 - $25.00 HRLY,2025-08-24,https://jobs.jhu.edu/job/Washington-Security-Officer-%28Day-Shift%29-DC-20001/1268239400/,jhons_hopkins,"High School Diploma/GED. Completion of basic security officer training,field training and related training required.",False,2025-08-24 17:27:01,"We are seeking a motivated, enthusiastic and customer service-oriented individual for the position of Security Officer (Day Shift) for the Hopkins Bloomberg Center in Washington, DC. This position is for the day shift (6:30 AM - 3:00 PM). Specific Duties includes Staff main public safety desks and actively monitor assigned cameras, reporting of events. Actively greet and welcome visitors, and direct pedestrian traffic as needed. Respond to routine and emergency calls for various types of services and take action as appropriate. The applicant must successfully complete a physical/health screening examination, including a drug screening. They must have valid driver’s license and must meet requirements to obtain a Security Officer license."
Physician Assistant,117805,NA,State of Maryland,"$100,000 - $152,900",2025-08-24,https://jobs.jhu.edu/job/Baltimore-Physician-Assistant-MD-21287/1287101800/,jhons_hopkins,Bachelor's Degree; Certification by the NCCPA or similar national certifying body; Completion of a CAAHEP certified Physician Assistant program.,False,2025-08-24 17:27:10,"We are seeking a Physician Assistant who will practice within the guidelines of the department and institution in accordance with the Physician Assistant Delegation Agreement required and approved by the State of Maryland and appropriately credentialed by the Johns Hopkins Hospital. Physician Assistants will work under the direction, supervision and responsibility of an attending physician, and in accordance with established policies evaluate patient health status through diagnostic procedures and tests. Physician Assistants will work alongside fellows, residents, nurses, radiologic technologists and other healthcare professionals to provide the highest quality therapeutic patient care."
Medical Assistant,117484,Timonium,NA,"$15.40 - $23.25 HRLY ($45,760 targeted; Commensurate w/exp.)",2025-08-24,https://jobs.jhu.edu/job/Timonium-Medical-Assistant-MD-21093/1278308200/,jhons_hopkins,"Completion of an accredited Medical Assistant training program, such as courses provided through Medix, community colleges, and/or vocational schools, Certification/Registration as a Medical Assistant (e.g. CMA, AAMA, RMA, AMT, NAHP) required.",False,2025-08-24 17:27:19,"We are seeking a Medical Assistant (MA) who will functions as an integral member of the clinic team. Responsible for direct patient care and clinic operations, including the maintenance of the environment of care and supplies/equipment. Will share the responsibility with other clinicians in ensuring a safe environment for the patient while providing quality care and a positive patient experience. Functions clinically under the authority of the physician within the scope of their certification."
ASL Interpreter & Team Lead,112921,NA,NA,"$72,600 - $99,800 - $127,000 Annually (Commensurate with experience)",2025-08-24,https://jobs.jhu.edu/job/Baltimore-ASL-Interpreter-&-Team-Lead-MD-21218/1133670500/,jhons_hopkins,Bachelor's Degree in related field,False,2025-08-24 17:27:28,"Johns Hopkins University seeks a full-time experienced, nationally certified ASL Interpreter & Team Lead. The Interpreter will serve as a designated interpreter for a faculty member in the Department of Cognitive Science. This position is responsible for daily transliterating services and collaboratively supporting and teaming with other interpreters. This position is also responsible for recruiting and supervising a high-performing pool of staff interpreters, vetting and securing interpreter agency contracts as-needed, and anticipating the interpretation needs of the faculty member."
Sr. Clinical Nurse,118386,NA,Maryland,"$75,100 - $131,700 Annually",2025-08-24,https://jobs.jhu.edu/job/Lutherville-Sr_-Clinical-Nurse-MD-21093/1303072400/,jhons_hopkins,"Registered nurse licensed in the State of Maryland or state where practicing, and a Bachelor's degree in nursing or related discipline",False,2025-08-24 17:27:36,"A Sr. Clinical Nurse is needed to be a member of the team specializing in oncology nursing. They will take responsibility for the coordination of care from diagnosis to survivorship including end-of-life issues for the oncology patients. They will work with the team to plan and implement patient care using clinical resources, serving as a patient advocate and educator for the patient and their family. The position reports to nursing leadership."
