job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description
HR Business Partner Principal,27492,Tysons,Virginia,NA,NA,https://careers.mcdean.com/jobs/27492?lang=en-us,medstar,Bachelor’s degree,False,2025-08-21 16:39:55,"M.C. Dean is Building Intelligence®. With more than 6,000+ professionals worldwide, we design, build, operate, and maintain cyber-physical solutions for mission-critical facilities, secure environments, complex infrastructure, and global enterprise As an employee at M.C. Dean, you will join forces with more than 5,800 professionals who engineer and deploy automated, secure and resilient power and technology systems; and deliver the management platforms essential for long-term system sustainability. Together, we transform the way complex, large-scale systems are designed, delivered, and sustained–enhancing client outcomes, improving lives, and changing the world for the better."
BOC Specialist 4,28366,Alexandria,VA,NA,NA,https://careers.mcdean.com/jobs/28366?lang=en-us,medstar,High school diploma or GED,False,2025-08-21 16:40:05,"M.C. Dean is seeking a dedicated and skilled BOC (Building Operations Center) Specialist/Operator to join our 24/7/365 team. As a BOC Specialist/Operator, you will be responsible for continuously monitoring, operating, and optimizing building automation systems (BAS) to maximize efficiency, ensure occupant comfort, and maintain critical operations. You will play a crucial role in identifying and resolving issues, responding to alarms and service calls, and implementing strategies for long-term system improvements. The candidate should have experience in DDC Controls, HVAC Systems, Building Automation Systems (BAS), and troubleshooting, among others. Ability to read and interpret technical documentation is required."
IDIQ Project Controller,28314,Alexandria,Virginia,NA,NA,https://careers.mcdean.com/jobs/28314?lang=en-us,medstar,High school diploma or GED,False,2025-08-21 16:40:16,"M.C. Dean is Building Intelligence®. We design, build, operate, and maintain cyber-physical solutions for the nation’s most recognizable mission critical facilities, secure environments, complex infrastructure, and global enterprises. The IDIQ Project Controller will oversee and support Indefinite Delivery/Indefinite Quantity(IDIQ) projects, ensuring seamless project execution from inception to completion. This role requires the ability to effectively plan, organize, and manage all aspects of the construction process, including scheduling, budgeting, quality control, safety, and project closeout. The ideal candidate will excel in subcontractor coordination, schedule management, and fieldexecution."
Project Leader 1,14666,Aldie,Virginia,NA,NA,https://careers.mcdean.com/jobs/14666?lang=en-us,medstar,"Bachelor’s degree in Electrical Engineering, Mechanical Engineering, Construction Management or Master’s degree",False,2025-08-21 16:40:25,"The Project Manager I is responsible for the overall administration, organization and implementation of small electrical construction projects or parts of larger more complex project. This involves assisting the project Superintendent in the preparation of project documentation requirements, project layout, and field office support. Other responsibilities include developing a resource loaded CPM schedule with time scale logic, coordinating project kick-off meetings, and forecasting cash flow and manpower needs for projects. The role requires a background in Electrical Engineering, Mechanical Engineering, Construction Management with 7-9 years of experience (Bachelor’s degree) or 5-7 years (Master’s degree)."
Commercial Service Technician 1,27417,Annapolis,Maryland,$26.00 - ,NA,https://careers.mcdean.com/jobs/27417?lang=en-us,medstar,High School Diploma or GED,False,2025-08-21 16:40:37,"M.C. Dean is Building Intelligence®. We design, build, operate, and maintain cyber-physical solutions for the nation’s most recognizable mission critical facilities, secure environments, complex infrastructure, and global enterprises. The company’s capabilities include electrical, electronic security, telecommunications, life safety, automation and controls, audio visual, and IT systems. The selected candidate will be working as an Electrical Service Technician for M.C. Dean’s Service & National Accounts Group. This Group operates 24/7 - 365 to support our customers and is known for being the best in class for providing The Ultimate Customer Experience."
Lighting Technician 1,27418,Annapolis,MD,$17.40 - ,NA,https://careers.mcdean.com/jobs/27418?lang=en-us,medstar,High School Diploma or GED,False,2025-08-21 16:40:48,"M.C. Dean is Building Intelligence®. We design, build, operate, and maintain cyber-physical solutions for the nation’s most recognizable mission critical facilities, secure environments, complex infrastructure, and global enterprises. The company’s capabilities include electrical, electronic security, telecommunications, life safety, automation and controls, audio visual, and IT systems. The selected candidate will be working for the National Accounts department within M.C. Dean. The selected candidate will be responsible for electrical lighting maintenance scope which will include changing bulbs, ballasts, and drivers on existing lighting fixtures."
Network Administrator 2,28179,Annapolis Junction,Maryland,"$86,720 -",NA,https://careers.mcdean.com/jobs/28179?lang=en-us,medstar,Bachelor's Degree and 2+ Years of progressive experience or Associates Degree and 6+ Years of progressive experience or HS Diploma or Equivalent and 8+ Years of progressive experience,False,2025-08-21 16:40:59,"M.C. Dean, Inc is hiring a **Network Administrator 2** for a full-time onsite position in Annapolis Junction, MD. The job requires an active TS/SCI w/ polygraph clearance. The Network Administrator will be tasked with supporting network documentation, support planning, installing, configuring, and operating complex networks. They will also support planning and implementation of VPN solutions and management of hardware firmware revisions. Current certification in either Cisco Certified Network Associate (CCNA) or CompTIA Network+ is required."
System Administrator 5,28363,Annapolis Junction,Maryland,"$149,840 - $224,760",NA,https://careers.mcdean.com/jobs/28363?lang=en-us,medstar,"Associate's degree with 13+ years of experience in programs and contracts of similar scope, type, and complexity, a Bachelor's degree with 10+ years of experience, or 7+ years of experience with a Masters.",False,2025-08-21 16:41:08,"We are seeking a System Administrator 5 to join our Security and Electronic Systems (SES) business Unit. As part of SES Strategic Business Unit you will be part of a team that designs, engineers, integrates, operates and maintains electronic security services inclusive of intrusion detection, access control, biometric authentication, video surveillance, audio visual, it systems, perimeter defense and command and control systems for federal, local and commercial customers across high-growth markets."
System Administrator 4,28362,Annapolis Junction,Maryland,"$124,880 - $187,320",NA,https://careers.mcdean.com/jobs/28362?lang=en-us,medstar,"HS Diploma with 12+ years of experience, or Associate's degree with 10+ years of experience in programs and contracts of similar scope, type, and complexity, a Bachelor's degree with 7+ years of experience, or 5+ years of experience with a Masters. Of which 3 years of experience is required with the provision of SE services for physical security system and IT solutions.",False,2025-08-21 16:41:25,"M.C. Dean, Inc is seeking a System Administrator 4 to join their Security and Electronic Systems (SES) business Unit. The role involves the design, engineering, integration, operation, and maintenance of electronic security services inclusive of intrusion detection, access control, biometric authentication, video surveillance, audiovisual, IT systems, perimeter defense and control systems for federal, local, and commercial customers. The role also requires cross-discipline coordination, system design solutions that satisfy system requirements, and performing technical/non-technical assessment."
Database Administrator 5,28135,Annapolis Junction,Maryland,"$149,840 - $224,760",NA,https://careers.mcdean.com/jobs/28135?lang=en-us,medstar,Bachelor's degree,False,2025-08-21 16:41:39,"Seeking a senior Database Administrator 5 that is able to work with a dynamic team of system engineers and administrators responsible for design, implementation, operations & maintenance, and cybersecurity for large complex resilient hardware and virtualized infrastructure. This position maintains the integrity, security and availability of multiple database(s). Duties include disaster recovery, performance analysis and tuning, index maintenance, and monitoring of data."
