job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description
Echo Tech / Cardiac Sonographer - PRN,req26592,Baltimore,MD,$34.98 -,NA,https://careers.medstarhealth.org/global/en/job/req26592/Echo-Tech-Cardiac-Sonographer-PRN,medstar,NA,False,2025-08-19 15:09:58,"MedStar Health is seeking an Echo Tech / Cardiac Sonographer to join their team. The role is a part-time shift that includes rotating weekends based at their Union Memorial Hospital in Baltimore, MD. The successful candidate will have equal opportunity for all applicants. MedStar Health is dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education"
Orthopedic Surgeon (General Orthopedics) - MedStar Health,MMG1888,"Washington, Baltimore","DC, US","$320,000 - $645,000",NA,https://careers.medstarhealth.org/global/en/job/MMG1888/Orthopedic-Surgeon-General-Orthopedics-MedStar-Health,medstar,NA,False,2025-08-19 15:10:18,"MedStar Health is hiring an Orthopedic Surgeon for a full-time day shift role. The position is located in the Washington, DC and Baltimore region. The successful candidate will become part of MedStar Medical Group Orthopedics. The organization promises a strong emphasis on teamwork, a strategic focus on equity, inclusion, & diversity, and a comprehensive total rewards package."
Orthopaedic Surgeon (Joint Arthroplasty / Sports Medicine / General Orthopaedics) – MedStar Health,MMG2115,Leonardtown,MD,"$550,000 - $650,000",NA,https://careers.medstarhealth.org/global/en/job/MMG2115/Orthopaedic-Surgeon-Joint-Arthroplasty-Sports-Medicine-General-Orthopaedics-MedStar-Health,medstar,NA,False,2025-08-19 15:10:27,"MedStar Health is seeking a full-time Orthopedic Surgeon. We are dedicated to providing the highest quality care for people in Maryland and the Washington, D.C. region, while advancing the practice of medicine through education, innovation, and research. The salary offered for this specific position is based on a number of legitimate, non-discriminatory factors set by MedStar Health."
Orthopaedic Trauma Surgeon,MMG2036,Washington,DC,"$320,000 - $645,000",NA,https://careers.medstarhealth.org/global/en/job/MMG2036/Orthopaedic-Trauma-Surgeon-MedStar-Health-in-Washington-DC,medstar,NA,False,2025-08-19 15:10:37,"MedStar Health is seeking an Orthopaedic Trauma Surgeon. The surgeon will be based in Washington, DC. The role is full-time, and in-person. The successful candidate will join MedStar Health, the largest healthcare provider in the Baltimore-Washington, D.C. region."
MedStar Health Women's Health- Exciting Opportunities in the Mid-Atlantic Region!- MMG Women's Health DMV,MMG2041,"Washington, DC & Maryland",NA,"$235,000-$350,000",NA,https://careers.medstarhealth.org/global/en/job/MMG2041/MedStar-Health-Women-s-Health-Exciting-Opportunities-in-the-Mid-Atlantic-Region!-MMG-Women-s-Health-DMV,medstar,NA,False,2025-08-19 15:10:46,"MedStar Health is looking for a full-time Physician to join their Women's Health team. The work shift includes both days and nights. They provide a comprehensive healthcare package (including medical, dental, and vision subject to eligibility requirements) along with other benefits. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region, offering numerous opportunities to grow your career. Their emphasis on teamwork, equity, inclusion, & diversity cultivates a valuable work environment with positive patient outcomes."
Physical Therapist Assistant (PTA) - Outpatient,req35052,McLean,VA,$25.35 - $42.23,NA,https://careers.medstarhealth.org/global/en/job/req35052/Physical-Therapist-Assistant-PTA-Outpatient,medstar,NA,False,2025-08-19 15:10:59,"The job involves work as a physical therapist assistant in an outpatient setting. The work location is in McLean, VA, USA at the National Rehabilitation Network. The position is a full-time day shift role. MedStar Health provides a comprehensive healthcare package (including medical, dental, and vision subject to eligibility requirements) and other benefits. The salary for this position is based on a number of non-discriminatory factors set by MedStar Health. The job entry has a strong emphasis on teamwork, equity, inclusion, & diversity, and offers a comprehensive total rewards package."
Ultrasound Technologist - PRN,req34853,Washington,DC,$34.98 - $59.26,NA,https://careers.medstarhealth.org/global/en/job/req34853/Ultrasound-Technologist-PRN,medstar,NA,False,2025-08-19 15:11:06,"MedStar Health is seeking a part-time Ultrasound Technologist. The position is located in Washington, DC. The company values teamwork, equity, inclusion, and diversity. They offer a comprehensive total rewards package including competitive pay, generous paid time off, health and wellness benefits, retirement savings, education assistance, and more. The company is the largest healthcare provider in the Baltimore-Washington, D.C. region, offering numerous opportunities for career growth."
Certified Surgical First Assistant,req13228,Leonardtown,MD,$34.98 -,NA,https://careers.medstarhealth.org/global/en/job/req13228/Certified-Surgical-First-Assistant,medstar,NA,False,2025-08-19 15:11:17,"This job position is based in Leonardtown, MD at St.Mary's Hospital Medical/Surgical and it is a part-time job. The job also requires the applicant to float between different locations. The primary aim of MedStar Health is to provide the highest quality care for people in Maryland and the Washington, D.C. region. They are an Equal Opportunity Employer and they comply with the federal, state, and local laws governing each of those locations. The hiring range is based on a number of legitimate, non-discriminatory factors set by MedStar Health."
Social Worker PRN,req19641,Leonardtown,MD,$29.15 - $48.99,NA,https://careers.medstarhealth.org/global/en/job/req19641/Social-Worker-PRN,medstar,NA,False,2025-08-19 15:11:27,"This is a part-time social worker position at MedStar Health, based in Leonardtown, MD. MedStar Health offers a comprehensive healthcare package, competitive pay, and various benefits, including education assistance. The organization prides itself on fostering an inclusive and positive environment, as well as offering numerous career opportunities within the Baltimore-Washington, D.C. region. MedStar Health is dedicated to providing the highest quality care, advancing the practice of medicine through education, innovation, and research."
Clinical Social Worker - Part Time,req14602,Washington,DC,$72758.40 - $123260.80,NA,https://careers.medstarhealth.org/global/en/job/req14602/Clinical-Social-Worker-Part-Time,medstar,NA,False,2025-08-19 15:11:36,"The position involves providing clinical social work services in a healthcare setting. The job is part-time and based in Georgetown University Hospital. As an employee of MedStar Health, the individual will be part of an inclusive and positive environment with a strong emphasis on teamwork. The healthcare provider is committed to providing equitable care and fostering a diverse and inclusive workplace. This position may offer a comprehensive healthcare package and other benefits based on eligibility requirements."
Physical Therapist Assistant PTA - Outpatient Neuro,req37873,Washington,DC,$25.35 - $44.55,NA,https://careers.medstarhealth.org/global/en/job/req37873/Physical-Therapist-Assistant-PTA-Outpatient-Neuro,medstar,NA,False,2025-08-19 15:11:46,"MedStar Health is seeking a Physical Therapist Assistant for Outpatient Neuro. They are a comprehensive healthcare provider, offering numerous benefits including medical, dental, and vision. MedStar Health is dedicated to high-quality care, innovation, and research. They are also committed to equity and inclusivity in their workplace."
Neurologist Physician - MedStar St. Mary’s Hospital,MMG1801,Leonardtown,MD,"$300,000 ",NA,https://careers.medstarhealth.org/global/en/job/MMG1801/Neurologist-Physician-MedStar-St-Mary’s-Hospital,medstar,NA,False,2025-08-19 15:11:56,"The Neurologist Physician at MedStar St. Mary’s Hospital is a full-time position. The role emphasizes teamwork, inclusion, and diversity. MedStar Health offers comprehensive healthcare packages, including medical, dental, and vision subject to eligibility requirements, and other benefits. The salary offered is based on a number of factors set by MedStar Health and might be updated in the future. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region."
Medical Assistant (PRN) - Urgent Care,req37673,Catonsville,MD,$19.17 - $33.08,NA,https://careers.medstarhealth.org/global/en/job/req37673/Medical-Assistant-PRN-Urgent-Care,medstar,NA,False,2025-08-19 15:12:07,"Medical Assistant job in an urgent care setting for MedStar Health. This is a part-time role with a day/evening shift with rotating weekends. The job is based in Catonsville, MD. MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region."
Radiology Technologist - PRN,req33834,Catonsville,MD,$29.15 - $51.68,NA,https://careers.medstarhealth.org/global/en/job/req33834/Radiology-Technologist-PRN,medstar,NA,False,2025-08-19 15:12:18,"The position is for a Part-Time Radiology Technologist at MedStar Urgent Care. The shift is Day/Evening with rotating weekends. MedStar Health offers a comprehensive healthcare package. MedStar Health is the largest healthcare provider in the Baltimore-Washington, D.C. region. You will be part of a team of 32,000 including physicians, nurses, residents, fellows, and many other clinical and non-clinical associates working across the health system."
Radiology Technologist - PRN,req34218,California,MD,$29.15 - $51.68,NA,https://careers.medstarhealth.org/global/en/job/req34218/Radiology-Technologist-PRN,medstar,NA,False,2025-08-19 15:12:28,"The position is for a part-time Radiology Technologist at MedStar Urgent Care in California, MD. The job does not stipulate any clear salary, educational requirements, or whether the job can be done remotely. MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits."
Radiology Technologist - PRN,req34420,Columbia,MD,$29.15 - $51.68,NA,https://careers.medstarhealth.org/global/en/job/req34420/Radiology-Technologist-PRN,medstar,NA,False,2025-08-19 15:12:39,"Radiology Technologist - PRN position at MedStar Health. It is part-time with day to evening shifts including rotating weekends. The role is based in Columbia, MD. In addition to a competitive salary, MedStar Health offers a comprehensive healthcare package (including medical, dental, and vision subject to eligibility requirements). The salary offered for this specific position is determined by a number of legitimate, non-discriminatory factors set by MedStar Health."
Radiology Technologist (Urgent Care),req32263,Rockville,MD,"$10,000 ",NA,https://careers.medstarhealth.org/global/en/job/req32263/Radiology-Technologist-Urgent-Care,medstar,NA,False,2025-08-19 15:12:51,"MedStar Health is looking for a full-time Radiology Technologist for Urgent Care in Rockville, MD. This role requires rotating weekend shifts. The hiring salary will be based on a broad range of factors including work experience, education, and/or skill level. MedStar Health offers a comprehensive healthcare package (including medical, dental, and vision), equity, inclusion, and diversity initiatives, as well as opportunities for career growth. MedStar Health is an Equal Opportunity (EO) Employer."
Radiology Technologist (Urgent Care),req32958,Chevy Chase,MD,"$10,000 ",NA,https://careers.medstarhealth.org/global/en/job/req32958/Radiology-Technologist-Urgent-Care,medstar,NA,False,2025-08-19 15:13:02,"MedStar Urgent Care is seeking a full-time Radiology Technologist. This position involves rotating weekend shifts and in-person work. MedStar Health offers a comprehensive healthcare package and other benefits, and is committed to fostering an inclusive and positive environment. It is the largest healthcare provider in the Baltimore-Washington, D.C. region, offering a variety of opportunities to grow your career."
MedStar Health Urgent Care Physician/PA/NP - South Region (St. Mary's County),MMG2251,California,"MD, US","$224,640 - $291,200",NA,https://careers.medstarhealth.org/global/en/job/MMG2251/MedStar-Health-Urgent-Care-Physician-PA-NP-South-Region-St-Mary-s-County,medstar,NA,False,2025-08-19 15:13:13,"MedStar Health urgent care is looking for a physician or advanced practice provider in the South Region (St. Mary's County). The role is a full-time position requiring in-person work on both day and night shifts. The work emphasizes teamwork and the fostering of an inclusive and positive environment. MedStar Health offers a comprehensive healthcare package (including medical, dental and vision subject to eligibility requirements) and other benefits."
