job_title,job_id,city,state,salary,posted_date,job_url,company,education_needed,is_remote,last_scanned_at,description_summary
Staff Factory Automation SEIT Lead (PR1009),R10192794,"Linthicum, Annapolis Junction",Maryland,"$163,200.00 - $256,400.00",NA,https://jobs.northropgrumman.com/careers?pid=1340058149304&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,"Bachelor's degree in STEM area (Science, Technology, Engineering or Math) with 12+ years as a systems engineer working with complex integrated systems or a Masters degree in STEM area with 10+ years as a systems engineer working with complex integrated systems or a PHD in STEM area with 7+ years as a systems engineer working with complex integrated systems",False,2025-08-23 19:25:44,"Staff Factory Automation SEIT Lead position at Northrop Grumman requires Bachelor's degree in STEM area with 12+ years as a systems engineer working with complex integrated systems or a Masters degree in STEM area with 10+ years or a PHD in STEM area with 7+ years. The job requires working on revolutionary systems that impact people's lives around the world. The role entails system engineering activities like trade studies, analysis of alternatives, requirement decomposition/allocation, requirement verification/validation, process development, roadmap development. It will be based in Linthicum/ Annapolis Junction, MD."
Staff RF Microwave Design Engineer,R10202910,Linthicum,Maryland,"$163,200.00 - $244,800.00",NA,https://jobs.northropgrumman.com/careers?pid=1340060405425&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,Bachelor Degree in Electrical Engineering or comparable STEM degree,False,2025-08-23 19:25:50,"This role is at Northrop Grumman Space Systems sector, where engineers work on complex electronics supporting different space platforms. The Electrical Design and Analysis (EDA) section in Linthicum, MD, is seeking engineers with experience in RF/Microwave and Mixed Signal circuit card assembly design and test. The position allows opportunities for technical growth, leadership, and management positions. Candidates must have expertise in RF/Microwave circuit design, schematic capture, board layout, and testing complex mixed signal CCAs."
Principal / Sr. Principal RF Microwave Design Engineer,R10202909,Linthicum,Maryland,"$105,400.00 - $158,000.00 or $131,100.00 - $196,700.00",NA,https://jobs.northropgrumman.com/careers?pid=1340060404890&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,Bachelor Degree in Electrical Engineering or comparable STEM degree,False,2025-08-23 19:25:58,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. The Electrical Design and Analysis (EDA) section in Linthicum, MD enables hardware solutions by providing RF microwave architecture, design, verification, and support expertise across a wide variety of electronic sensor products."
Principal / Sr. Principal RF Microwave Design Engineer,R10201256,Baltimore,Maryland,"$105,400.00 - $158,000.00",NA,https://jobs.northropgrumman.com/careers?pid=1340060155574&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,"[""Bachelor's Degree in STEM"", ""Master's Degree"", 'PhD']",False,2025-08-23 19:26:06,"At Northrop Grumman, the RF Microwave Design Engineer will work on revolutionary systems that impact people's lives globally. Our employees partake in our mission of advancing innovations and redefining engineering capabilities. One would join a team working on optimization algorithms that run high-fidelity Computational Electromagnetic (CEM)-based simulations.RF/Microwave Design Engineer's responsibilities would range from antenna design, systems architecture to radio frequency and/or microwave system."
Principal / Sr. Principal Embedded Software Engineer (Flight Software),R10200668,Linthicum,Maryland,"$105,400.00 - $158,000.00",NA,https://jobs.northropgrumman.com/careers?pid=1340060057162&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,"Bachelor's degree, master's degree, Ph.D.",False,2025-08-23 19:26:12,"Northrop Grumman's Space Systems is looking for a Principal / Sr. Principal Software Engineer with the desire to learn new technologies and develop software for cutting edge Space Payloads. The software engineer will design, develop, integrate, and test software that manages a Space payload unit ensuring compliance to established requirements. Selected individuals will work on an agile development team, primarily using C++, Linux and/or Python. This role will support Remote Sensing Programs (RSP) Business Unit in Linthicum, MD."
U109 Engineering Tech C - 1st Shift,R10200617,Linthicum,Maryland,NA,NA,https://jobs.northropgrumman.com/careers?pid=1340060055746&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,High school graduate or recognized equivalent.,False,2025-08-23 19:26:20,"Northrop Grumman is seeking an Engineering Technician C to join its Microelectronics Center Laboratory and Logistic Support team. This position is located in Linthicum, MD. The Engineering Technician C will construct, test and troubleshoot a variety of electro-mechanical-optical circuits and equipment under the guidance, direction and supervision of higher classified personnel. This includes construction, wiring, testing, and modification of breadboard circuitry and other electronic equipment. It also involves performing laboratory tests and troubleshooting equipment."
U109 Semi-Conductor Equipment Technician C - 4th Shift,R10199971,Linthicum,Maryland,NA,NA,https://jobs.northropgrumman.com/careers?pid=1340059910263&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,High school graduate or equivalent. Must possess an Associates Degree (minimum 60 credits) with a major in Electronics OR six months military electronics school plus two years working experience in the maintenance and repair of electro-mechanical equipment.,False,2025-08-23 19:26:28,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. This position involves the repair and alignment of a variety of equipment used in the manufacturing and testing of semi-conductors."
U109 Semi-Conductor Equipment Technician C - 4th Shift,R10199972,Linthicum,Maryland,NA,NA,https://jobs.northropgrumman.com/careers?pid=1340059910294&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,High school graduate or equivalent. Must possess an Associates Degree,False,2025-08-23 19:26:35,"At Northrop Grumman, our employees have opportunities to work on revolutionary systems. We look for people who have bold ideas, courage and a pioneering spirit to invent the future. Northrop Grumman Mission Systems is seeking a Semi-Conductor Equipment Technician C to join its organization. This position is located in Linthicum, Maryland. The primary function is to repair and align a variety of equipment used in the manufacturing and testing of semi-conductors."
U109 Engineering Test Lab Technician C - 3rd Shift,R10198875,"Baltimore, Linthicum",Maryland,NA,NA,https://jobs.northropgrumman.com/careers?pid=1340059652376&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,"High school graduate or recognized equivalent, Associate’s Degree (minimum 60 semester hours) or two years (minimum 60 semester hours) of college level study with a major in Electronics OR a minimum of six months military electronic school plus two years working experience in the maintenance and repair of electro-mechanical equipment.",False,2025-08-23 19:26:43,"Northrop Grumman Mission Systems is seeking an Engineering Test Lab Technician C to join its Environmental Test Lab in Linthicum, Maryland. Perform environmental and evaluation tests and troubleshoot a variety of electronic and electro-mechanical components and assemblies. Application period is estimated to be 20 days. Northrop Grumman is an Equal Opportunity Employer."
U109 Engineering Test Lab Technician C - 2nd Shift,R10198870,"Baltimore, Linthicum",Maryland,NA,NA,https://jobs.northropgrumman.com/careers?pid=1340059652722&State=Maryland&domain=ngc.com&sort_by=relevance&source=APPLICANT_SOURCE-3-504,Northrop Grumman,"High school graduate, Associate’s Degree",False,2025-08-23 19:26:50,"Northrop Grumman is seeking an Engineering Test Lab Technician C to join its Environmental Test Lab in Linthicum, Maryland. The employee will perform environmental tests and measurements of electronic and/or electro-mechanical assemblies and components. They will set up and operate environmental facilities and test equipment, construct simple test fixtures, make necessary calculations and prepare necessary reports. High school graduate or recognised equivalent and Associate’s Degree needed."
