title,salary,location,postedAt,description
"Teacher, Grades 3-5 (SY 25-26)",$17 per hour,"Sterling, VA",2025-08-04,"The Teacher plans, designs, implements, and assesses an instructional program for students in grades 3-5 at Forest Grove Elementary School, promoting academic potential through diverse learning experiences, assessments, classroom management, and student support."
"Teacher, Special Education (Autism) (SY 25-26)
Loudoun County Public Schools
Moorefield Station Elementary School - Ashburn, Virginia",10 per hour,"Moorefield Station Elementary School - Ashburn, Virginia",2025-08-04,"The job description for the Special Education Teacher, Autism, at Loudoun County Public Schools is to plan and implement instructional programs and services for students with autism. They are responsible for providing educational support in a variety of settings, including schools, centers, and work sites, and communicating with students on instructional expectations to keep them informed of their progress."
"Teacher, Special Education (Autism) (SY 25-26)",$10 per hour.,"Moorefield Station Elementary School - Ashburn, Virginia",2025-08-03,"The job description for a Special Education Teacher, Autism (SY 25-26) at Loudoun County Public Schools is to plan and implement instructional programs, provide educational services, and manage student behavior in an instructional setting. The role requires various duties such as teaching classes, monitoring students, and collaborating with other staff members."
"Teacher, Special Education (Autism) (SY 25-26)
Loudoun County Public Schools 
Moorefield Station Elementary School - Ashburn, Virginia",$24-$30 per hour.,"Moorefield Station Elementary School 
Ashburn, Virginia",20230504,"The job description for the Special Education Teacher (Autism) position requires planning and implementing instructional strategies to promote student achievement, managing student behavior in an instructional setting, and coordinating with other staff members."
"Teacher, Grades 3-5 (SY 25-26)",$15 per hour,"Forest Grove Elementary School - Sterling, Virginia",20250304,"A teacher at Forest Grove Elementary School will plan, design, implement, and assess an instructional program for students in grades 3-5, guiding them to develop their academic potential. They will create learning experiences, monitor student progress, and manage classroom behavior while communicating with parents and school administration."
Teacher Assistant - Special Education (Multiple Disabilities),$21.40 - $24.08 per hour,VA,2025-08-04,"A Teacher Assistant in Loudoun County Public Schools is responsible for assisting teachers with students who have physical or intellectual disabilities, including preparing classroom materials, supervising student behavior, and providing personal assistance as required."
Paraprofessional / IA,$14.20 - $15.70 per hour,"Ashburn, Virginia","Aug 11, 2025",The Administrative Assistant I (School-Based) role is for a school-based administrative assistant who performs routine office operations with general clerical and administrative support skills.
"Instructional Support > Paraprofessional / IA Teacher Assistant, Special Education (Cross Category)",$19.00 per hour,"Ashburn, Virginia",08-04,"An employee in this role assists teachers with students who have physical disabilities or intellectual disabilities. They provide instructional support, prepare classroom materials, supervise student behavior, and assist with personal care as required under the guidance of the teacher."
"Paraprofessional / IA Teacher Assistant, Kindergarten",$18-$21 per hour.,"Sterling, VA",2025-08-04,"The job description for a Title I Paraprofessional position at Lcps.org involves providing individual and group instruction, implementing behavior modification plans, supervising learning centers, assisting students during recess and lunch, preparing the classroom, and performing administrative tasks such as filing and photocopying."
Principal,$10 per hour,"Sterling, VA",2025-08-04,"The job description is for an Elementary Teacher at Loudoun County Public Schools, Sterling Elementary School. The primary responsibilities include designing instructional programs, supervising student progress, presenting information to parents, developing assessments, and managing students outside the classroom."
Banneker Elementary School Cafeteria Monitor,$15.65 per hour,"Banneker Elementary School 
Virginia",2025-08-04,"An employee is responsible for overseeing students from entering the lunchroom to leaving. They assist students with basic tasks, maintain table etiquette, and help with cleanup. The role also includes knowing fire exits and performing related work as required."
"Teacher, Special Education (Intensive Program - Emotional Disabilities)",10/hour,"Aldie, Virginia",2025-08-04,"The job description for a Teacher, Special Education (Intensive Program - Emotional Disabilities) at Loudoun County Public Schools involves planning and implementing instructional programs, providing educational services to students, and monitoring student behavior. The incumbent is responsible for teaching single or multi-grade level classes, subject areas, skills, or specialties, and performs duties as required or assigned under general supervision."
Paraprofessional / IA,$21.04-$22.73,"Ashburn, VA",2025-08-04,"The Administrative Assistant I (School-Based) position at Loudoun County Public Schools involves performing routine to varied office operations such as phone and visitor reception work, file maintenance, data entry, keyboarding, mail processing, and library clerical work."
"I cannot provide a full job title based on the provided text as it only includes ""Teacher"" and does not specify a particular subject area or field. Can I help you with anything else?",$23/hour,"Leesburg, VA",2025-08-04,"The Teacher for Loudoun County Public Schools will plan, design, implement, and assess an instructional program for high school students at various levels, including ELL/ESL, SEI, TESOL, and regular courses. They will prepare students for assessments and develop classroom expectations to promote a challenging and equitable environment that supports student development."
Instructional Support > Paraprofessional / IA Teacher Assistant - Study Hall Monitor,$22.80 per hour,"Willard 
Aldie, Virginia",2025-08-04,"The job posting describes the Physical Requirements as requiring frequent sitting or remaining in a stationary position for long periods, with the ability to exert up to 25 pounds of force occasionally."
"Physical Requirements
Teacher, Kindergarten
Loudoun County Public Schools
Leesburg Elementary School - Leesburg, Virginia",$20 per hour,Virginia - Loudoun County,2025-08-05,"The job description is for an Elementary Classroom Teacher at Leesburg Elementary School. The teacher will design instructional programs, monitor student progress, present information to parents, develop assessments, and manage students outside the classroom. They will be responsible for teaching kindergarten through fifth grade students in a developmentally appropriate manner."
"Teacher Assistant, Kindergarten",$21.40-$24.08 per month,"Loudoun County Public Schools
Leesburg, Virginia",2025-08-04,"The job description involves a paraprofessional position that includes tasks such as teaching individual students, assisting with behavior modification plans, supervising classroom activities, preparing the classroom environment, and performing clerical duties like filing and photocopying. The ideal candidate should have experience working with children, be able to lift and assist students, and possess good human relations and communication skills."
"CTY-B, FHR-B",$22.80-$23.76 per month,"Sterling, VA",2025-08-04,"The job description for a Paraprofessional / IA (Instructional Assistant) in Loudoun County Public Schools involves assisting teachers in classrooms, preparing materials, supervising student behavior, and performing clerical tasks such as filing and photocopying."
Cafeteria Monitor,$15.65 per hour,"BAL-A, BAL-B",2025-08-03,"An employee will be responsible for overseeing students in the elementary school's food service during lunchtime. They must assist students, manage seating, and maintain an orderly atmosphere to ensure safe and respectful conditions. Additional tasks include assisting parents, cleaning up after each class dismissal, and performing related duties as required."
Cafeteria Monitor,$15.65 per hour,"Ashburn, Virginia",2025-08-03,"The job description involves providing student support services in the school lunchroom, including supervising students, assisting with tasks such as condiment assistance and table etiquette, helping parents or visitors, and performing general cleaning duties. The position requires a non-exempt FLSA status and an immediate start date of July 31, 2025."
"Teacher Assistant, Special Education (Autism)",$18-$21 per hour,"Aldie, Virginia",2025-08-04,"This position requires an employee to assist teachers with students who have physical disabilities or intellectual disabilities by performing instructional duties, supervising student behavior, and providing personal assistance as needed. The work involves direct interaction with students, including talking and exchanging ideas, lifting heavy objects occasionally, and working in a stationary position for long periods."
"Map Job Coach, Special Education
Loudoun County Public Schools
The North Star School - Leesburg, Virginia",$21.40 per hour (Universal 4),"Leesburg, VA",2025-08-04,"A job coach is expected to provide short-term support to students in the school or community. They assist with setting work plans, providing direct training, collecting data on student progress, and social integration into workplace settings. The position requires excellent communication skills and experience working with children."
"Citizenship, residency or work visa required
Contact Information
PUP-04AA
Email: recruitment@lcps.org
Map",$13 per hour,"LCPS 
Virginia",2025-08-04,"The job requires regular talking and exchanging ideas by the spoken word. The employee must accurately convey detailed or important instructions to other workers, both loudly and quickly. They also need to sit or remain stationary for long periods, exerting up to 25 pounds of force occasionally, and lifting or moving objects."
Coaching Experience or Participation in the Sport Which You Are Applying For On High School Or College Levels.,$10 per hour,"Ashburn, Virginia",2025-08-03,"The job description includes responsibilities such as organizing team tryouts, recruiting equipment managers and assistants, managing records and statistics, recommending players for varsity letters, and overseeing student-athlete performance. The Assistant Coach will also supervise assistant coaches, work with the head coach to maintain a well-balanced program, and foster positive behavior among athletes."
Teacher Assistant - Study Hall Monitor,$19.36 per hour,"Stone Ridge, Virginia",2025-08-04,"The job posting is for a Study Hall Monitor position at Loudoun County Public Schools. The employee is responsible for monitoring student work and supervising students in a quiet study atmosphere. They must have good human relations skills, maintain order, and follow through on daily assignments."
